,Predvidena ocena
The Lair of the White Worm (1988),3.3333333333333335
"Prophecy, The (1995)",3.3333333333333335
Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004),3.3203915431767985
"Hunt for Red October, The (1990)",3.2680390957509746
Jin Roh: The Wolf Brigade (Jin-Rô) (1998),3.23178048506745
Watership Down (1978),3.2140591223742607
Sneakers (1992),3.2044352837900565
Ed Wood (1994),3.19833402095089
Another 48 Hrs. (1990),3.180293228508559
1984 (Nineteen Eighty-Four) (1984),3.173200682742662
Ben-Hur (1959),3.168920279607719
Bound (1996),3.162602091359201
Smokey and the Bandit (1977),3.1547005383792515
Ghost in the Shell (Kôkaku kidôtai) (1995),3.151343267203349
Aliens (1986),3.151256432110885
Near Dark (1987),3.1439539838470307
Patriot Games (1992),3.11901637246905
"Blood of Heroes, The (Salute of the Jugger, The) (1989)",3.1180478223116177
Talk to Her (Hable con Ella) (2002),3.1180478223116177
"Officer and a Gentleman, An (1982)",3.1180478223116177
Marie Antoinette (2006),3.1180478223116177
Saving Private Ryan (1998),3.1152723605121895
Intolerable Cruelty (2003),3.1043433078774525
Kelly's Heroes (1970),3.1021695918229164
I Saw the Devil (Akmareul boatda) (2010),3.087681569018257
Creature Comforts (1989),3.0687941738117046
"Femme Nikita, La (Nikita) (1990)",3.062324054566077
Dune (1984),3.047978662501056
Saving Face (2004),3.038821183552277
13 Ghosts (1960),3.0350397304505803
Attack of the 50 Foot Woman (1958),3.0350397304505803
Aelita: The Queen of Mars (Aelita) (1924),3.0350397304505803
All the King's Men (1949),3.0350397304505803
8 1/2 (8½) (1963),3.0350397304505803
"Angry Red Planet, The (1959)",3.0350397304505803
The Alamo (2004),3.0350397304505803
Akira Kurosawa's Dreams (Dreams) (1990),3.0350397304505803
"Asphyx, The (1973)",3.0350397304505803
"Virgin Suicides, The (1999)",3.031780170749715
It (2017),3.031088913245535
Inferno (2016),3.031088913245535
G.I. Jane (1997),3.0237157840738176
Surviving the Game (1994),3.0237157840738176
Meatballs (1979),3.010398644698074
Bachelor Party (1984),3.010398644698074
"Road Warrior, The (Mad Max 2) (1981)",3.0095866700321654
Hoosiers (a.k.a. Best Shot) (1986),3.0094103266649315
Once Upon a Time in the West (C'era una volta il West) (1968),3.00255303969954
Clay Pigeons (1998),3.0
Sabrina (1995),3.0
"Messenger: The Story of Joan of Arc, The (1999)",3.0
Higher Learning (1995),3.0
Running Scared (1986),2.9999999999999996
"War of the Worlds, The (1953)",2.9999999999999996
Drugstore Cowboy (1989),2.9985738791760532
Star Trek II: The Wrath of Khan (1982),2.996955796569311
"Godfather, The (1972)",2.990019098686896
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",2.987775370419463
Transformers: The Movie (1986),2.986972509155545
Twin Peaks: Fire Walk with Me (1992),2.9849908428833305
Tombstone (1993),2.9810940884241113
Akira (1988),2.977832178222609
"Firm, The (1993)",2.974500387851837
Spriggan (Supurigan) (1998),2.973597863403961
Monster's Ball (2001),2.9716878364870323
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",2.9632842988764314
Daria: Is It Fall Yet? (2000),2.9514591494904874
Captain Horatio Hornblower R.N. (1951),2.9514591494904874
Nuremberg (2000),2.9514591494904874
"Bourne Identity, The (1988)",2.9514591494904874
Away We Go (2009),2.9514591494904874
Terminator 2: Judgment Day (1991),2.9510012888413417
The Golden Voyage of Sinbad (1973),2.9497335587772966
Beneath the Planet of the Apes (1970),2.9497335587772966
Dangerous Liaisons (1988),2.9497335587772966
"Island of Dr. Moreau, The (1996)",2.9493587371177723
"Last Starfighter, The (1984)",2.949041614945201
Dead Alive (Braindead) (1992),2.948972320921211
Unforgiven (1992),2.9402577016864306
Metropolis (2001),2.9344131679519756
Pulp Fiction (1994),2.9326397370615855
Some Folks Call It a Sling Blade (1993),2.932066664551326
Quicksilver (1986),2.932066664551326
Ghost Story (1981),2.932066664551326
"Masque of the Red Death, The (1964)",2.932066664551326
Meet the Feebles (1989),2.932066664551326
Great Balls of Fire! (1989),2.932066664551326
Sea of Love (1989),2.932066664551326
"Hand That Rocks the Cradle, The (1992)",2.932066664551326
"Godzilla, King of the Monsters! (Kaijû-ô Gojira) (1956)",2.932066664551326
White Sands (1992),2.932066664551326
Fright Night Part II (1988),2.932066664551326
Primal Fear (1996),2.932066664551326
"Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981)",2.932066664551326
"Hunted, The (2003)",2.932066664551326
Hudson Hawk (1991),2.932066664551326
"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",2.932066664551326
Disclosure (1994),2.932066664551326
Spacehunter: Adventures in the Forbidden Zone (1983),2.932066664551326
"Specialist, The (1994)",2.932066664551326
Flowers in the Attic (1987),2.932066664551326
"Last of the Mohicans, The (1992)",2.9311975301238427
Out of Sight (1998),2.9310584640321675
There Will Be Blood (2007),2.9263146616196125
Breaker Morant (1980),2.922552851700092
Star Wars: Episode V - The Empire Strikes Back (1980),2.9224931903212945
Ginger Snaps (2000),2.9220108449790736
"Talented Mr. Ripley, The (1999)",2.9200901642004378
Ocean's Eleven (a.k.a. Ocean's 11) (1960),2.9148605369591256
Under Siege (1992),2.908670032954839
Blade Runner (1982),2.906668058359513
Sister Act (1992),2.9031195934094223
Secretary (2002),2.893026310553555
Pi (1998),2.89189555053188
Apocalypse Now (1979),2.890954102470351
"Endless Summer, The (1966)",2.8867513459481287
Dawn of the Dead (2004),2.884439313649424
"Unforgiven, The (1960)",2.8796401543551298
Arsenic and Old Lace (1944),2.874863180285638
"Thing, The (1982)",2.8741500390069703
"Conjuring, The (2013)",2.871175218072147
Scarface (1983),2.870495525401739
Zombie (a.k.a. Zombie 2: The Dead Are Among Us) (Zombi 2) (1979),2.8695716466600096
"Shadow, The (1994)",2.866357464766567
"Silence of the Lambs, The (1991)",2.8650283897084727
"Godfather: Part II, The (1974)",2.862685022565905
"Andromeda Strain, The (1971)",2.8554011169505125
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",2.8554011169505125
Heavy Metal (1981),2.851571422993524
Frailty (2001),2.8494966314915433
Basic Instinct (1992),2.8488501674964666
Last Life in the Universe (Ruang rak noi nid mahasan) (2003),2.8478110262581753
Miller's Crossing (1990),2.8478110262581753
Tokyo Tribe (2014),2.8478110262581753
Mind Game (2004),2.8478110262581753
Last Hurrah for Chivalry (Hao xia) (1979),2.8478110262581753
Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),2.8478110262581753
Enter the Void (2009),2.8478110262581753
Troll 2 (1990),2.8478110262581753
It Follows (2014),2.8478110262581753
Maniac Cop 2 (1990),2.8478110262581753
Memories of Murder (Salinui chueok) (2003),2.8478110262581753
Love Exposure (Ai No Mukidashi) (2008),2.8478110262581753
Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),2.8478110262581753
"Tree of Life, The (2011)",2.8478110262581753
Dead Man's Shoes (2004),2.8478110262581753
13 Assassins (Jûsan-nin no shikaku) (2010),2.8478110262581753
Stranger Than Paradise (1984),2.8478110262581753
Encounters at the End of the World (2008),2.8478110262581753
Why Don't You Play In Hell? (Jigoku de naze warui) (2013),2.8478110262581753
Bullet in the Head (1990),2.8478110262581753
Mother (Madeo) (2009),2.8478110262581753
Ghost Dog: The Way of the Samurai (1999),2.8478110262581753
My Dinner with André (1981),2.8478110262581753
Get Out (2017),2.8478110262581753
"Better Tomorrow II, A (Ying hung boon sik II) (1987)",2.8478110262581753
"Hustler, The (1961)",2.8478110262581753
Project A 2 ('A' gai wak juk jap) (1987),2.8478110262581753
Only Lovers Left Alive (2013),2.8478110262581753
Branded to Kill (Koroshi no rakuin) (1967),2.8478110262581753
Opera (1987),2.8478110262581753
"Bittersweet Life, A (Dalkomhan insaeng) (2005)",2.8478110262581753
Project A ('A' gai waak) (1983),2.8478110262581753
Holy Motors (2012),2.8478110262581753
Police Story (Ging chaat goo si) (1985),2.8478110262581753
Apollo 13 (1995),2.8448356916019817
Wallace & Gromit: A Close Shave (1995),2.8436905636995116
All the President's Men (1976),2.8424571900584517
Princess Mononoke (Mononoke-hime) (1997),2.8399476733767965
Star Wars: Episode IV - A New Hope (1977),2.8356583044344097
Reservoir Dogs (1992),2.8321277645718337
"Client, The (1994)",2.8301792545369957
"Matrix, The (1999)",2.8285831922451794
When Harry Met Sally... (1989),2.8258410416251567
"Clockwork Orange, A (1971)",2.81756529599835
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),2.813939223877434
"Dark Crystal, The (1982)",2.8072843163993615
Fright Night (1985),2.805993907227778
Payback (1999),2.8046829020052617
Boyz N the Hood (1991),2.8034690054789912
Fight Club (1999),2.8017708179782232
"Lock, Stock & Two Smoking Barrels (1998)",2.8011599265089266
Alien (1979),2.800633502030437
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2.8004030729513887
Them! (1954),2.7995011198469073
"Shining, The (1980)",2.793454074069675
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),2.7919758148239096
Monty Python and the Holy Grail (1975),2.791443594789198
"Blair Witch Project, The (1999)",2.789237496659367
"Christmas Story, A (1983)",2.7808553711709045
Seven (a.k.a. Se7en) (1995),2.777883181289224
24 Hour Party People (2002),2.773500981126146
Heat (1995),2.7734332061899027
City of God (Cidade de Deus) (2002),2.765775741649112
Butch Cassidy and the Sundance Kid (1969),2.762095922188332
Audition (Ôdishon) (1999),2.759118252503999
Enter the Dragon (1973),2.7585890540447067
Excalibur (1981),2.7565729897875366
Matewan (1987),2.7562225904900997
Chariots of Fire (1981),2.7562225904900997
"Big Lebowski, The (1998)",2.7560852584950926
"Terminator, The (1984)",2.7554663050094907
Children of the Corn (1984),2.755214079540119
Platoon (1986),2.7514156118321704
Cape Fear (1962),2.7496669484716207
Amadeus (1984),2.748454054405745
"Hitcher, The (1986)",2.743661430557131
Boys Don't Cry (1999),2.7431960533933535
Full Metal Jacket (1987),2.738014115119365
Goldfinger (1964),2.736972302602205
Big Eden (2000),2.7349390651970493
Desert Hearts (1985),2.7349390651970493
Lilting (2014),2.7349390651970493
Mystère à la Tour Eiffel (2015),2.7349390651970493
Brazil (1985),2.734155671238425
For a Few Dollars More (Per qualche dollaro in più) (1965),2.7313725465779775
Boiler Room (2000),2.7301178728240587
"Quest for Fire (Guerre du feu, La) (1981)",2.7294096304793904
L.A. Confidential (1997),2.729306075585425
"Astronaut's Wife, The (1999)",2.7282918445226656
Don Juan DeMarco (1995),2.7282918445226656
Babylon 5: In the Beginning (1998),2.7282918445226656
"Bridge Too Far, A (1977)",2.7282918445226656
Gorky Park (1983),2.7282918445226656
My Life Without Me (2003),2.7282918445226656
Nine Queens (Nueve reinas) (2000),2.7282918445226656
Arizona Dream (1993),2.7282918445226656
"Perfect Candidate, A (1996)",2.7282918445226656
Teddy Bear (Mis) (1981),2.7282918445226656
True Lies (1994),2.7271387837240573
Blue Velvet (1986),2.7234053317327382
Airplane II: The Sequel (1982),2.72167932310452
THX 1138 (1971),2.7208457086415088
Blazing Saddles (1974),2.720024401685419
Army of Darkness (1993),2.7194312664532165
GoldenEye (1995),2.7162732528604923
FLCL (2000),2.714818621446532
Mutiny on the Bounty (1935),2.7146866301206956
"Little Foxes, The (1941)",2.7146866301206956
"King and I, The (1956)",2.7146866301206956
T-Rex: Back to the Cretaceous (1998),2.7146866301206956
Night of the Comet (1984),2.7146866301206956
"Competition, The (1980)",2.7146866301206956
Fame (1980),2.7146866301206956
For the Love of Benji (1977),2.7146866301206956
Primary Colors (1998),2.7146866301206956
Swiss Family Robinson (1960),2.7146866301206956
Song of the South (1946),2.7146866301206956
Dead Again (1991),2.7146866301206956
Benji the Hunted (1987),2.7146866301206956
Logan (2017),2.7135919945618148
Star Trek: First Contact (1996),2.7120420964907135
Adaptation (2002),2.7072629952656713
"Crow, The (1994)",2.7069166397251974
Wallace & Gromit: The Wrong Trousers (1993),2.7064363637454685
2001: A Space Odyssey (1968),2.706230235011252
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),2.7033510245319694
"Lord of the Rings: The Fellowship of the Ring, The (2001)",2.7025747676921363
American Grindhouse (2010),2.697813093733849
"Agony and the Ecstasy, The (1965)",2.697813093733849
"Madness of King George, The (1994)",2.697813093733849
Animal Crackers (1930),2.697813093733849
Android (1982),2.697813093733849
Allegro non troppo (1977),2.697813093733849
Alice in Wonderland (1933),2.697813093733849
"Asphalt Jungle, The (1950)",2.697813093733849
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",2.697813093733849
Attack of the Giant Leeches (1959),2.697813093733849
Attack of the Puppet People (1958),2.697813093733849
Amazon Women on the Moon (1987),2.697813093733849
"10th Victim, The (La decima vittima) (1965)",2.697813093733849
The Devil's Advocate (1997),2.696638300898946
Spy Game (2001),2.694545551839752
Memento (2000),2.6909069771861898
Predator (1987),2.6900013700327934
Louis C.K.: Shameless (2007),2.6857721516235538
Louis C.K.: Live at the Beacon Theater (2011),2.6857721516235538
Louis C.K.: Hilarious (2010),2.6857721516235538
Equilibrium (2002),2.683448309049191
Vertigo (1958),2.6826280402285683
Big Trouble in Little China (1986),2.6812123104652756
From Dusk Till Dawn (1996),2.6783678620058198
Star Wars: Episode VI - Return of the Jedi (1983),2.6725558687632778
Sexy Beast (2000),2.670349757298156
Jurassic Park (1993),2.6676959130805007
"Graduate, The (1967)",2.667572172168431
"Frighteners, The (1996)",2.664429022398337
"Warriors, The (1979)",2.664429022398337
"Fugitive, The (1993)",2.6613967825464533
"Dirty Dozen, The (1967)",2.6587895303542326
Spirited Away (Sen to Chihiro no kamikakushi) (2001),2.6567695366363138
Goodfellas (1990),2.6532064705667597
Four Rooms (1995),2.651657509549997
Labyrinth (1986),2.651197048642187
Donnie Darko (2001),2.6499224470536014
Die Hard (1988),2.647488022626356
The Lego Batman Movie (2017),2.6464824787136347
Thor: Ragnarok (2017),2.6464824787136347
"Mist, The (2007)",2.6460103555320686
"Untouchables, The (1987)",2.643071462428974
Charlotte's Web (1973),2.6421436306268884
Creepshow 2 (1987),2.6408565124202283
Battlestar Galactica (2003),2.634831101856801
"Outlaw Josey Wales, The (1976)",2.6321221480548957
Once Upon a Time in China (Wong Fei Hung) (1991),2.630954241863382
Braveheart (1995),2.630529715783059
Gigantic (A Tale of Two Johns) (2002),2.627855129761363
Zero Effect (1998),2.6272206566101732
Delicatessen (1991),2.627036267636083
"Departed, The (2006)",2.619762748482413
"Opposite of Sex, The (1998)",2.618059409085159
Dark City (1998),2.6174553152294004
"Bourne Identity, The (2002)",2.6171024592907477
Gattaca (1997),2.6161159985782882
"Lord of the Rings: The Two Towers, The (2002)",2.6149634221747475
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),2.614625748043174
Rosemary's Baby (1968),2.61164825437852
Soylent Green (1973),2.6061806955513287
"Princess Bride, The (1987)",2.6056921450889416
Startup.com (2001),2.604511278783856
Highlander (1986),2.6023800223065416
Living in Oblivion (1995),2.599420474731946
Bowling for Columbine (2002),2.5984560702943487
"Steal Big, Steal Little (1995)",2.598076211353316
On Any Sunday (1971),2.598076211353316
My Fellow Americans (1996),2.598076211353316
Mulholland Falls (1996),2.598076211353316
Riding Giants (2004),2.598076211353316
"Evil Dead, The (1981)",2.5954191094461536
Casino (1995),2.5952283152006594
Hellraiser (1987),2.5926348710340656
Capote (2005),2.5917543978097646
Shine (1996),2.5917543978097646
"Boondock Saints, The (2000)",2.5897801478676445
"Usual Suspects, The (1995)",2.589233464352174
"Fish Called Wanda, A (1988)",2.585103270153261
Shaun of the Dead (2004),2.5831005869060975
Mr. Smith Goes to Washington (1939),2.5825267558041762
RKO 281 (1999),2.5825267558041762
Rare Exports: A Christmas Tale (Rare Exports) (2010),2.581826216634889
Never Cry Wolf (1983),2.581826216634889
More (1998),2.581826216634889
Back to the Future (1985),2.5789953447001652
"Sting, The (1973)",2.5780175286362703
Predator 2 (1990),2.5745675331351654
Seven Samurai (Shichinin no samurai) (1954),2.5738720198753833
Thelma & Louise (1991),2.573501225633135
"Iron Giant, The (1999)",2.571311941267717
Six-String Samurai (1998),2.570305842488878
"Fifth Element, The (1997)",2.567646964774712
Taxi Driver (1976),2.563170591341293
Evil Dead II (Dead by Dawn) (1987),2.563110815710488
Prince of Darkness (1987),2.5630299236323575
Ruby Sparks (2012),2.5630299236323575
Kill List (2011),2.5630299236323575
Shaolin Temple (Shao Lin si) (1976),2.5630299236323575
Irreversible (Irréversible) (2002),2.5630299236323575
Ninja: Shadow of a Tear (2013),2.5630299236323575
"King of Comedy, The (1983)",2.5630299236323575
Hatchet II (2010),2.5630299236323575
The Hateful Eight (2015),2.5630299236323575
Sightseers (2012),2.5630299236323575
Sympathy for the Underdog (1971),2.5630299236323575
Police Story 2 (Ging chaat goo si juk jaap) (1988),2.5630299236323575
Spring (2015),2.5630299236323575
Inherent Vice (2014),2.5630299236323575
Oculus (2013),2.5630299236323575
"Skin I Live In, The (La piel que habito) (2011)",2.5630299236323575
Man on Wire (2008),2.5630299236323575
Hush (2016),2.5630299236323575
"Mighty Wind, A (2003)",2.5630299236323575
Miracles - Mr. Canton and Lady Rose (1989),2.5630299236323575
Housebound (2014),2.5630299236323575
Thirst (Bakjwi) (2009),2.5630299236323575
Wheels on Meals (Kuai can che) (1984),2.5630299236323575
"Adventures of Baron Munchausen, The (1988)",2.5630299236323575
"Way of the Gun, The (2000)",2.5630299236323575
"Field in England, A (2013)",2.5630299236323575
V/H/S/2 (2013),2.5630299236323575
"Babadook, The (2014)",2.5630299236323575
Triangle (2009),2.5630299236323575
Bone Tomahawk (2015),2.5630299236323575
Cold Fish (Tsumetai nettaigyo) (2010),2.5630299236323575
Four Lions (2010),2.5630299236323575
Dead or Alive 2: Tôbôsha (2000),2.5630299236323575
"Crying Game, The (1992)",2.56266520352326
"Damned United, The (2009)",2.5618532811383963
"Ghost and the Darkness, The (1996)",2.5607091187437945
"Lord of the Rings, The (1978)",2.5585011043162145
Office Space (1999),2.556855307614433
They Live (1988),2.556672787499302
Gladiator (2000),2.55497416887663
Grosse Pointe Blank (1997),2.554652807897719
"Lord of the Rings: The Return of the King, The (2003)",2.554642972541717
Smilla's Sense of Snow (1997),2.552216485191032
Nurse Betty (2000),2.5512754091515712
John Wick: Chapter Two (2017),2.550977400066584
"African Queen, The (1951)",2.550452877242013
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),2.549055909390418
Indiana Jones and the Last Crusade (1989),2.5476451665191044
Chinatown (1974),2.5460735142247355
This Is Spinal Tap (1984),2.5435492451672133
Conan the Destroyer (1984),2.541973535055508
Psycho (1960),2.541879234031379
Planet of the Apes (1968),2.5418065764128035
"Mariachi, El (1992)",2.5406151732504134
"Year of Living Dangerously, The (1982)",2.5396225341291085
Trainspotting (1996),2.539188041855452
Fargo (1996),2.5381590213440908
Clear and Present Danger (1994),2.537685195923668
No Country for Old Men (2007),2.5375980016802697
American Psycho (2000),2.5352693001765023
Flash Gordon (1980),2.534162088108332
"Three Musketeers, The (1993)",2.5334425791894364
"Time to Kill, A (1996)",2.532553777408112
Patton (1970),2.532553777408112
Dawn of the Dead (1978),2.5323456530188957
On the Waterfront (1954),2.5321439634869485
Deliverance (1972),2.5280003880755175
Maverick (1994),2.5277106445000364
Tremors (1990),2.524872345212919
Eternal Sunshine of the Spotless Mind (2004),2.524492613678768
Rain Man (1988),2.5236928969296244
First Blood (Rambo: First Blood) (1982),2.5227630430600936
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),2.5214491454998855
"Thing, The (2011)",2.521001128425125
Empire of the Sun (1987),2.517747113584106
Speed (1994),2.5176743392067458
Traffic (2000),2.5166918569800574
Cheech and Chong's Up in Smoke (1978),2.515562293430882
Escape from New York (1981),2.5129966555378163
"Insider, The (1999)",2.512463448419869
Unstoppable (2010),2.5122783158131288
"Blues Brothers, The (1980)",2.511637164201643
"Hills Have Eyes, The (1977)",2.510875190827508
Jaws (1975),2.508290727158561
Harold and Maude (1971),2.508234404330215
Point Break (1991),2.507250127218339
Smoke (1995),2.506905794934042
Before Sunrise (1995),2.506905794934042
Constantine (2005),2.506845175443176
Confessions of a Dangerous Mind (2002),2.503270332764603
Lucky Number Slevin (2006),2.5025914258599236
Master and Commander: The Far Side of the World (2003),2.501716101001637
Bottle Rocket (1996),2.500157685744355
Michael Collins (1996),2.5
"Creature from the Black Lagoon, The (1954)",2.5
Masters of the Universe (1987),2.5
Godzilla (Gojira) (1954),2.5
Krull (1983),2.5
Spartacus (1960),2.5
"Puppet Masters, The (1994)",2.5
Young Frankenstein (1974),2.493325807349315
2010: The Year We Make Contact (1984),2.4847591426230515
Leaving Las Vegas (1995),2.4839392657089574
Howl's Moving Castle (Hauru no ugoku shiro) (2004),2.483456158035139
X2: X-Men United (2003),2.4820041069785654
"Sixth Sense, The (1999)",2.4809795614059453
Dr. No (1962),2.480889564083838
Shooter (2007),2.4786558225208926
Kill Bill: Vol. 2 (2004),2.476132977443448
Louis C.K.: Oh My God (2013),2.4754946058255536
Louis C.K.: Chewed Up (2008),2.4754946058255536
Louis C.K.: Live at The Comedy Store (2015),2.4754946058255536
Pirates of the Caribbean: The Curse of the Black Pearl (2003),2.4751438527842407
11:14 (2003),2.4738844481149345
Die Hard 2 (1990),2.4736912293505187
Event Horizon (1997),2.4713704807269985
Misery (1990),2.4712574549595745
"Maltese Falcon, The (1941)",2.4708991193920857
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",2.4699707886205813
Kill Bill: Vol. 1 (2003),2.469137081375431
"World Is Not Enough, The (1999)",2.4686931031353176
Lord of the Flies (1990),2.4671696365059015
Spider-Man (2002),2.466536940676709
Assault on Precinct 13 (1976),2.4654622392611687
Day of the Dead (1985),2.463813849806123
Do the Right Thing (1989),2.463795397485157
Monty Python's And Now for Something Completely Different (1971),2.460681420705806
Open Your Eyes (Abre los ojos) (1997),2.460681420705806
Dr. Horrible's Sing-Along Blog (2008),2.458176901849569
Mad Max (1979),2.4549114690520675
Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),2.453123617208104
Tron (1982),2.4512937067352967
"Omen, The (1976)",2.4498687504084042
Logan's Run (1976),2.4487217649704602
You Only Live Twice (1967),2.448576800119071
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",2.4470165439290903
Lost in Translation (2003),2.443929433011375
King Solomon's Mines (1937),2.4433888871261047
"Fly II, The (1989)",2.4433888871261047
King Solomon's Mines (1985),2.4433888871261047
Cherry 2000 (1987),2.4433888871261047
Real Genius (1985),2.4433888871261047
Deep Rising (1998),2.4433888871261047
Wild Orchid (1990),2.4433888871261047
